SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS;
A773;;;;Febre maculosa devida à Rickettsia australis;A77.3 Febre maculosa dev Rickettsia australis;;;
A778;;;;Outras febres maculosas;A77.8 Outr febres maculosas;;;
A779;;;;Febre maculosa não especificada;A77.9 Febre maculosa NE;;;
A78;;;;Febre Q;A78   Febre Q;;;
A790;;;;Febre das trincheiras;A79.0 Febre das trincheiras;;;
A791;;;;Rickettsiose variceliforme devida à Rickettsia akari;A79.1 Rickettsiose variceliforme dev R.akari;;;
A798;;;;Outros tipos de rickettsioses especificadas;A79.8 Outr tipos de rickettsioses espec;;;
A799;;;;Rickettsiose não especificada;A79.9 Rickettsiose NE;;;
A800;;;;Poliomielite paralítica aguda, associada ao vírus vacinal;A80.0 Poliomielite paral aguda assoc virus vacinal;;;
A801;;;;Poliomielite paralítica aguda, vírus selvagem importado;A80.1 Poliomiel paral aguda virus selvagem import;;;
A802;;;;Poliomielite paralítica aguda, vírus selvagem indígena;A80.2 Poliomiel paral aguda virus selvagem indig;;;
A803;;;;Poliomielites paralíticas agudas, outras e não especificadas;A80.3 Poliomielites paraliticas agudas outr e NE;;;
A804;;;;Poliomielite aguda não-paralítica;A80.4 Poliomielite aguda nao-paralitica;;;
A809;;;;Poliomielite aguda não especificada;A80.9 Poliomielite aguda NE;;;
A810;;;;Doença de Creutzfeldt-Jakob;A81.0 Doenc de Creutzfeldt-Jakob;;;
A811;;;;Panencefalite esclerosante subaguda;A81.1 Panencefalite esclerosante subaguda;;;
A812;;;;Leucoencefalopatia multifocal progressiva;A81.2 Leucoencefalopatia multifocal progressiva;;;
A818;;;;Outras infecções por vírus atípicos do sistema nervoso central;A81.8 Outr infecc p/virus atipic sist nerv central;;;
A819;;;;Infecção não especificada do sistema nervosos central por vírus atípicos;A81.9 Infecc NE sist nerv central p/virus atipicos;;;
A820;;;;Raiva silvestre;A82.0 Raiva silvestre;;;
A821;;;;Raiva urbana;A82.1 Raiva urbana;;;
A829;;;;Raiva não especificada;A82.9 Raiva NE;;;
A830;;;;Encefalite japonesa;A83.0 Encefalite japonesa;;;
A831;;;;Encefalite eqüina ocidental;A83.1 Encefalite equina ocidental;;;
A832;;;;Encefalite eqüina oriental;A83.2 Encefalite equina oriental;;;
A833;;;;Encefalite de St. Louis;A83.3 Encefalite de St. Louis;;;
A834;;;;Encefalite australiana;A83.4 Encefalite australiana;;;
A835;;;;Encefalite da Califórnia;A83.5 Encefalite da California;;;
A836;;;;Doença pelo vírus de Rocio;A83.6 Doenc p/virus de Rocio;;;
A838;;;;Outras encefalites por vírus transmitidas por mosquitos;A83.8 Outr encefalites p/virus transm p/mosquitos;;;
A839;;;;Encefalite não especificada por vírus transmitida por mosquitos;A83.9 Encefalite NE p/virus transm p/mosquitos;;;
A840;;;;Encefalite da taiga [encefalite vernoestival russa];A84.0 Encefalite da taiga;;;
A841;;;;Encefalite da Europa Central transmitida por carrapatos;A84.1 Encefalite Europa Central transm p/carrapato;;;
A848;;;;Outras encefalites por vírus transmitidas por carrapatos;A84.8 Outr encefalites p/virus transm p/carrapatos;;;
A849;;;;Encefalite não especificada por vírus transmitida por carrapatos;A84.9 Encefalite NE p/virus transm p/carrapatos;;;
A850;+;;;Encefalite por enterovírus;A85.0 Encefalite p/enterovirus;G05.1*;;
A851;+;;;Encefalite por adenovírus;A85.1 Encefalite p/adenovirus;G05.1*;;
A852;;;;Encefalite por vírus transmitido por artrópodes, não especificada;A85.2 Encefalite p/virus transm p/artropodes NE;;;
A858;;;;Outras encefalites virais especificadas;A85.8 Outr encefalites virais espec;;;
A86;;;;Encefalite viral, não especificada;A86   Encefalite viral NE;;;
A870;+;;;Meningite por enterovírus;A87.0 Meningite p/enterovirus;G02.0*;;
A871;+;;;Meningite por adenovírus;A87.1 Meningite p/adenovirus;G02.0*;;
A872;;;;Coriomeningite linfocitária;A87.2 Coriomeningite linfocitaria;;;
A878;;;;Outras meningites virais;A87.8 Outr meningites virais;;;
A879;;;;Meningite viral não especificada;A87.9 Meningite viral NE;;;
A880;;;;Febre exantemática por enterovírus [exantema de Boston];A88.0 Febre exantematica p/enterovirus;;;
A881;;;;Vertigem epidêmica;A88.1 Vertigem epidemica;;;
A888;;;;Outras infecções virais especificadas do sistema nervoso central;A88.8 Outr infecc virais espec sist nerv central;;;
A89;;;;Infecções virais não especificadas do sistema nervoso central;A89   Infecc virais NE do sist nervoso central;;;
A90;;;;Dengue [dengue clássico];A90   Dengue;;;
A91;;;;Febre hemorrágica devida ao vírus do dengue;A91   Febre hemorragica dev virus do dengue;;;
A920;;;;Febre de Chikungunya;A92.0 Febre de Chikungunya;;;
A921;;;;Febre de O'nyong-nyong;A92.1 Febre de Onyong-nyong;;;
A922;;;;Febre eqüina venezuelana;A92.2 Febre equina venezuelana;;;
A923;;;;Infecção pelo vírus West Nile;A92.3 Infecção p/virus West Nile;;;
A924;;;;Febre do vale do Rift;A92.4 Febre do vale do Rift;;;
A928;;;;Outras febres virais especificadas transmitidas por mosquitos;A92.8 Outr febres virais espec transm p/mosquitos;;;
A929;;;;Febre viral transmitida por mosquitos, não especificada;A92.9 Febre viral transm p/mosquitos NE;;;
A930;;;;Febre de Oropouche;A93.0 Febre de Oropouche;;;
A931;;;;Febre por flebótomos;A93.1 Febre p/flebotomos;;;
A932;;;;Febre do Colorado transmitida por carrapatos;A93.2 Febre do Colorado transm p/carrapatos;;;
A938;;;;Outras febres virais especificadas transmitidas por artrópodes;A93.8 Outr febres virais espec transm p/artropodes;;;
A94;;;;Febre viral transmitida por artrópodes, não especificada;A94   Febre viral transm p/artropodes NE;;;
A950;;;;Febre amarela silvestre;A95.0 Febre amarela silvestre;;;
A951;;;;Febre amarela urbana;A95.1 Febre amarela urbana;;;
A959;;;;Febre amarela não especificada;A95.9 Febre amarela NE;;;
A960;;;;Febre hemorrágica de Junin;A96.0 Febre hemorragica de Junin;;;
A961;;;;Febre hemorrágica de Machupo;A96.1 Febre hemorragica de Machupo;;;
A962;;;;Febre de Lassa;A96.2 Febre de Lassa;;;
A968;;;;Outras febres hemorrágicas por arenavírus;A96.8 Outr febres hemorragicas p/arenavirus;;;
A969;;;;Febre hemorrágica por arenavírus, não especificada;A96.9 Febre hemorragica p/arenavirus NE;;;
A980;;;;Febre hemorrágica da Criméia (do Congo);A98.0 Febre hemorragica da Crimeia;;;
A981;;;;Febre hemorrágica de Omsk;A98.1 Febre hemorragica de Omsk;;;
A982;;;;Doença da floresta de Kyasanur;A98.2 Doenc da floresta de Kyasanur;;;
A983;;;;Doença de Marburg;A98.3 Doenc de Marburg;;;
A984;;;;Doença pelo vírus Ebola;A98.4 Doenc p/virus Ebola;;;
A985;;;;Febre hemorrágica com síndrome renal;A98.5 Febre hemorragica c/sindr renal;;;
A988;;;;Outras febres hemorrágicas especificadas por vírus;A98.8 Outr febres hemorragicas espec p/virus;;;
A99;;;;Febres hemorrágicas virais não especificadas;A99   Febres hemorragicas virais NE;;;
B000;;;;Eczema herpético;B00.0 Eczema herpetico;;;
B001;;;;Dermatite vesicular devido ao vírus do herpes;B00.1 Dermatite vesicular dev virus do herpes;;;
B002;;;N;Gengivoestomatite e faringoamigdalite devida ao vírus do herpes;B00.2 Gengivoestom e faringoamig dev virus herpes;;;
B003;+;;;Meningite devida ao vírus do herpes;B00.3 Meningite dev virus do herpes;G02.0*;;
B004;+;;;Encefalite devida ao vírus do herpes;B00.4 Encefalite dev virus do herpes;G05.1*;;
B005;;;N;Afecções oculares devidas ao vírus do herpes;B00.5 Afeccoes oculares dev virus do herpes;;;
B007;;;;Doença disseminada devida ao vírus do herpes;B00.7 Doenc disseminada dev virus do herpes;;;
B008;;;N;Outras formas de infecção devida ao vírus do herpes;B00.8 Outr form de infecc dev virus do herpes;;;
B009;;;;Infecção não especificada devida ao vírus do herpes;B00.9 Infecc NE dev virus do herpes;;;
B010;+;;;Meningite por varicela;B01.0 Meningite p/varicela;G02.0*;;
B011;+;;;Encefalite por varicela;B01.1 Encefalite p/varicela;G05.1*;;
B012;+;;;Pneumopatia varicelosa;B01.2 Pneumopatia varicelosa;J17.1*;;
B018;;;;Varicela com outras complicações;B01.8 Varicela c/outr complic;;;
B019;;;;Varicela sem complicação;B01.9 Varicela s/complic;;;
B020;+;;;Encefalite pelo vírus do herpes zoster;B02.0 Encefalite p/virus do herpes zoster;G05.1*;;
B021;+;;;Meningite pelo vírus do herpes zoster;B02.1 Meningite p/virus do herpes zoster;G02.0*;;
B022;+;;;Herpes zoster acompanhado de outras manifestações neurológicas;B02.2 Herpes zoster acomp outr manif neurologicas;;;
B023;;;;Herpes zoster oftálmico;B02.3 Herpes zoster oftalmico;;;
B027;;;;Herpes zoster disseminado;B02.7 Herpes zoster disseminado;;;
B028;;;;Herpes zoster com outras complicações;B02.8 Herpes zoster c/outr complic;;;
B029;;;;Herpes zoster sem complicação;B02.9 Herpes zoster s/complic;;;
B03;;;;Varíola;B03   Variola;;;
B04;;;;Varíola dos macacos [Monkeypox];B04   Variola dos macacos;;;
B050;+;;;Sarampo complicado por encefalite;B05.0 Sarampo complicado p/encefalite;G05.1*;;
B051;+;;;Sarampo complicado por meningite;B05.1 Sarampo complicado p/meningite;G02.0*;;
B052;+;;;Sarampo complicado por pneumonia;B05.2 Sarampo complicado p/pneumonia;J17.1*;;
B053;+;;;Sarampo complicado por otite média;B05.3 Sarampo complicado p/otite media;H67.1*;;
B054;;;;Sarampo com complicações intestinais;B05.4 Sarampo c/complic intestinais;;;
B058;;;;Sarampo com outras complicações;B05.8 Sarampo c/outr complic;;;
B059;;;;Sarampo sem complicação;B05.9 Sarampo s/complic;;;
B060;+;;;Rubéola com complicações neurológicas;B06.0 Rubeola c/complic neurologicas;;;
B068;;;;Rubéola com outras complicações;B06.8 Rubeola c/outr complic;;;
B069;;;;Rubéola sem complicação;B06.9 Rubeola s/complic;;;
B07;;;N;Verrugas de origem viral;B07   Verrugas orig viral;;;
B080;;;;Outras infecções por ortopoxvírus;B08.0 Outr infecc p/ortopoxvirus;;;
B081;;;N;Molusco contagioso;B08.1 Molusco contagioso;;;
B082;;;;Exantema súbito [sexta doença];B08.2 Exantema subito;;;
B083;;;;Eritema infeccioso [quinta doença];B08.3 Eritema infecc;;;
B084;;;;Estomatite vesicular devida a enterovírus com exantema;B08.4 Estomatite vesic dev enterovirus c/exantema;;;
B085;;;;Faringite vesicular devida a enterovírus;B08.5 Faringite vesicular dev enterovirus;;;
B088;;;N;Outras infecções virais especificadas caracterizadas por lesões de pele e das membranas mucosas;B08.8 Outr inf virais espec lesoes pele membr muco;;;
B09;;;;Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas;B09   Inf viral NE caract p/lesoes pele membr muco;;;
B150;;;;Hepatite A com coma hepático;B15.0 Hepatite A c/coma hepatico;;;
B159;;;;Hepatite A sem coma hepático;B15.9 Hepatite A s/coma hepatico;;;
B160;;;;Hepatite aguda B com agente Delta (co-infecção), com coma hepático;B16.0 Hepatite aguda B c/agente Delta c/coma hepat;;;
B161;;;;Hepatite aguda B com agente Delta, (co-infecção), sem coma hepático;B16.1 Hepatite aguda B c/agente Delta s/coma hepat;;;
B162;;;;Hepatite aguda B sem agente Delta, com coma hepático;B16.2 Hepatite aguda B s/agente Delta c/coma hepat;;;
B169;;;;Hepatite aguda B sem agente Delta e sem coma hepático;B16.9 Hepatite aguda B s/agente Delta s/coma hepat;;;
B170;;;;(Super)infecção Delta aguda de portador de hepatite B;B17.0 Infecc Delta aguda de portador de hepatite B;;;
B171;;;;Hepatite aguda C;B17.1 Hepatite aguda C;;;
B172;;;;Hepatite aguda E;B17.2 Hepatite aguda E;;;
B178;;;;Outras hepatites virais agudas especificadas;B17.8 Outr hepatites virais agudas espec;;;
B180;;;;Hepatite viral crônica B com agente Delta;B18.0 Hepatite viral cronica B c/agente Delta;;;
B181;;;;Hepatite crônica viral B sem agente Delta;B18.1 Hepatite cronica viral B s/agente Delta;;;
B182;;;;Hepatite viral crônica C;B18.2 Hepatite viral cronica C;;;
B188;;;;Outras hepatites crônicas virais;B18.8 Outr hepatites cronicas virais;;;
B189;;;;Hepatite viral crônica não especificada;B18.9 Hepatite viral cronica NE;;;
B190;;;;Hepatite viral, não especificada, com coma;B19.0 Hepatite viral NE c/coma;;;
B199;;;;Hepatite viral, não especificada, sem coma;B19.9 Hepatite viral NE s/coma;;;
B200;;;;Doença pelo HIV resultando em infecções micobacterianas;B20.0 Doenc p/HIV result em infecc micobacterianas;;;
B201;;;;Doença pelo HIV resultando em outras infecções bacterianas;B20.1 Doenc p/HIV result outr infecc bacter;;;
B202;;;;Doença pelo HIV resultando em doença citomegálica;B20.2 Doenc p/HIV result em doenc citomegalica;;;
B203;;;;Doença pelo HIV resultando em outras infecções virais;B20.3 Doenc p/HIV result em outr infecc virais;;;
B204;;;;Doença pelo HIV resultando em candidíase;B20.4 Doenc p/HIV result em candidiase;;;
B205;;;;Doença pelo HIV resultando em outras micoses;B20.5 Doenc p/HIV result em outr micoses;;;
B206;;;;Doença pelo HIV resultando em pneumonia por Pneumocystis jirovecii;B20.6 Doenc p/HIV result pneumonia p/P.jirovecii;;;
B207;;;;Doença pelo HIV resultando em infecções múltiplas;B20.7 Doenc p/HIV result em infecc mult;;;
B208;;;;Doença pelo HIV resultando em outras doenças infecciosas e parasitárias;B20.8 Doenc p/HIV result outr doenc infecc parasit;;;
B209;;;;Doença pelo HIV resultando em doença infecciosa ou parasitária não especificada;B20.9 Doenc p/HIV result doenc infecc parasit NE;;;
B210;;;;Doença pelo HIV resultando em sarcoma de Kaposi;B21.0 Doenc p/HIV result em sarcoma de Kaposi;;;
B211;;;;Doença pelo HIV resultando em linfoma de Burkitt;B21.1 Doenc p/HIV result em linfoma de Burkitt;;;
B212;;;;Doença pelo HIV resultando em outros tipos de linfoma não-Hodgkin;B21.2 Doenc p/HIV res outr tip linfoma nao-Hodgkin;;;
B213;;;;Doença pelo HIV resultando em outras neoplasias malignas dos tecidos linfático, hematopoético e correlatos;B21.3 Doenc p/HIV out neop mal tec linf hemat corr;;;
B217;;;;Doença pelo HIV resultando em múltiplas neoplasias malignas;B21.7 Doenc p/HIV result em mult neopl malig;;;
B218;;;;Doença pelo HIV resultando em outras neoplasias malignas;B21.8 Doenc p/HIV result em outr neopl malig;;;
B219;;;;Doença pelo HIV resultando em neoplasia maligna não especificada;B21.9 Doenc p/HIV result em neopl malig NE;;;
B220;;;;Doença pelo HIV resultando em encefalopatia;B22.0 Doenc p/HIV result em encefalopatia;;;
B221;;;;Doença pelo HIV resultando em pneumonite intersticial linfática;B22.1 Doenc p/HIV result pneumonite interst linfat;;;
B222;;;;Doença pelo HIV resultando em síndrome de emaciação;B22.2 Doenc p/HIV result em sindr de emaciacao;;;
B227;;;;Doença pelo HIV resultando em doenças múltiplas classificadas em outra parte;B22.7 Doenc p/HIV result em doenc mult COP;;;
B230;;;;Síndrome de infecção aguda pelo HIV;B23.0 Sindr de infecc aguda p/HIV;;;
B231;;;;Doença pelo HIV resultando em linfadenopatias generalizadas (persistentes);B23.1 Doenc p/HIV result linfadenopatias generaliz;;;
B232;;;;Doença pelo HIV resultando em anomalias hematológicas e imunológicas não classificadas em outra parte;B23.2 Doenc p/HIV result anom hemat imunolog NCOP;;;
B238;;;;Doença pelo HIV resultando em outra afecções especificadas;B23.8 Doenc p/HIV result em outr afeccoes espec;;;
B24;;;;Doença pelo vírus da imunodeficiência humana [HIV] não especificada;B24   Doenc p/HIV NE;;;
B250;+;;;Pneumonite por citomegalovírus ;B25.0 Pneumonite p/citomegalovirus;J17.1*;;
B251;+;;;Hepatite por citomegalovírus;B25.1 Hepatite p/citomegalovirus;K77.0*;;
B252;+;;;Pancreatite por citomegalovírus;B25.2 Pancreatite p/citomegalovirus;K87.1*;;
B258;;;;Outras doenças por citomegalovírus;B25.8 Outr doenc p/citomegalovirus;;;
B259;;;;Doença não especificada por citomegalovírus;B25.9 Doenc NE p/citomegalovirus;;;
B260;+;M;;Orquite por caxumba [parotidite epidêmica];B26.0 Orquite p/caxumba;N51.1*;;
B261;+;;;Meningite por caxumba [parotidite epidêmica];B26.1 Meningite p/caxumba;G02.0*;;
B262;+;;;Encefalite por caxumba [parotidite epidêmica];B26.2 Encefalite p/caxumba;G05.1*;;
B263;+;;;Pancreatite por caxumba [parotidite epidêmica];B26.3 Pancreatite p/caxumba;K87.1*;;
B268;;;;Caxumba [parotidite epidêmica] com outras complicações;B26.8 Caxumba c/outr complic;;;
B269;;;;Caxumba [parotidite epidêmica] sem complicações;B26.9 Caxumba s/complic;;;
B270;;;;Mononucleose pelo vírus herpes gama;B27.0 Mononucleose p/virus herpes gama;;;
B271;;;;Mononucleose por citomegalovírus;B27.1 Mononucleose p/citomegalovirus;;;
B278;;;;Outras mononucleoses infecciosas;B27.8 Outr mononucleoses infecc;;;
B279;;;;Mononucleose infecciosa não especificada;B27.9 Mononucleose infecc NE;;;
B300;+;;N;Ceratoconjuntivite devida a adenovírus;B30.0 Ceratoconjuntivite dev adenovirus;H19.2*;;
B301;+;;N;Conjuntivite devida a adenovírus;B30.1 Conjuntivite dev adenovirus;H13.1*;;
B302;;;N;Faringoconjuntivite viral;B30.2 Faringoconjuntivite viral;;;
B303;+;;N;Conjuntivite hemorrágica aguda endêmica (por enterovírus);B30.3 Conjuntivite hemorragica aguda endemica;H13.1*;;
B308;+;;N;Outras conjuntivites virais;B30.8 Outr conjuntivites virais;H13.1*;;
B309;;;N;Conjuntivite viral não especificada;B30.9 Conjuntivite viral NE;;;
B330;;;;Mialgia epidêmica;B33.0 Mialgia epidemica;;;
B331;;;;Doença de Ross River;B33.1 Doenc de Ross River;;;
B332;;;;Cardite viral;B33.2 Cardite viral;;;
B333;;;;Infecção por retrovírus não classificada em outra parte;B33.3 Infecc p/retrovirus NCOP;;;
B334;+;;;Síndrome (cardio-)pulmonar por Hantavírus [SPH] [SCPH];B33.4 Síndrome (cardio-)pulmonar por Hantavírus;J17.1*;;
B338;;;;Outras doenças especificadas por vírus;B33.8 Outr doenc espec p/virus;;;
B340;;;;Infecção por adenovírus de localização não especificada;B34.0 Infecc p/adenovirus local NE;;;
B341;;;;Infecção por enterovírus de localização não especificada;B34.1 Infecc p/enterovirus localiz NE;;;
B342;;;;Infecção por coronavírus de localização não especificada;B34.2 Infecc p/coronavirus localiz NE;;;
B343;;;;Infecção por parvovírus de localização não especificada;B34.3 Infecc p/parvovirus localiz NE;;;
B344;;;;Infecção por papovavírus de localização não especificada;B34.4 Infecc p/papovavirus localiz NE;;;
B348;;;;Outras infecções por vírus de localização não especificada;B34.8 Outr infecc p/virus localiz NE;;;
B349;;;;Infecção viral não especificada;B34.9 Infecc viral NE;;;
B350;;;N;Tinha da barba e do couro cabeludo;B35.0 Tinha da barba e do couro cabeludo;;;
B351;;;N;Tinha das unhas;B35.1 Tinha das unhas;;;
B352;;;N;Tinha da mão;B35.2 Tinha da mao;;;
B353;;;N;Tinha dos pés;B35.3 Tinha dos pes;;;
B354;;;N;Tinha do corpo;B35.4 Tinha do corpo;;;
B355;;;N;Tinha imbricada;B35.5 Tinha imbricada;;;
B356;;;N;Tinea cruris;B35.6 Tinea cruris;;;
B358;;;N;Outras dermatofitoses;B35.8 Outr dermatofitoses;;;
B359;;;N;Dermatofitose não especificada;B35.9 Dermatofitose NE;;;
B360;;;N;Pitiríase versicolor;B36.0 Pitiriase versicolor;;;
